date,combined_equity
2020-04-20 00:00:00,0.42834746696551795
2020-04-21 00:00:00,0.43256988892212156
2020-04-22 00:00:00,0.42929577446530154
2020-04-23 00:00:00,0.42953582962654724
2020-04-24 00:00:00,0.4277470303528607
2020-04-27 00:00:00,0.4268192833592515
2020-04-28 00:00:00,0.4290020877274219
2020-04-29 00:00:00,0.42496378937203316
2020-04-30 00:00:00,0.4250101077702615
2020-05-01 00:00:00,0.4283284248327839
2020-05-04 00:00:00,0.4269916780061379
2020-05-05 00:00:00,0.4256764574864939
2020-05-06 00:00:00,0.42495321040940315
2020-05-07 00:00:00,0.4233908355959164
2020-05-08 00:00:00,0.4233908355959164
2020-05-11 00:00:00,0.4233908355959164
2020-05-12 00:00:00,0.4233908355959164
2020-05-13 00:00:00,0.4233908355959164
2020-05-14 00:00:00,0.4233908355959164
2020-05-15 00:00:00,0.4233908355959164
2020-05-18 00:00:00,0.4233908355959164
2020-05-19 00:00:00,0.4233908355959164
2020-05-20 00:00:00,0.4233908355959164
2020-05-21 00:00:00,0.4233908355959164
2020-05-22 00:00:00,0.4233908355959164
2020-05-26 00:00:00,0.4233908355959164
2020-05-27 00:00:00,0.4233908355959164
2020-05-28 00:00:00,0.4233908355959164
2020-05-29 00:00:00,0.4233908355959164
2020-06-01 00:00:00,0.4233908355959164
2020-06-02 00:00:00,0.4233908355959164
2020-06-03 00:00:00,0.4233908355959164
2020-06-04 00:00:00,0.4233908355959164
2020-06-05 00:00:00,0.4233908355959164
2020-06-08 00:00:00,0.4233908355959164
2020-06-09 00:00:00,0.4233908355959164
2020-06-10 00:00:00,0.4233908355959164
2020-06-11 00:00:00,0.4233908355959164
2020-06-12 00:00:00,0.4233908355959164
2020-06-15 00:00:00,0.4233908355959164
2020-06-16 00:00:00,0.4233908355959164
2020-06-17 00:00:00,0.4233908355959164
2020-06-18 00:00:00,0.4233908355959164
2020-06-19 00:00:00,0.4233908355959164
2020-06-22 00:00:00,0.4233908355959164
2020-06-23 00:00:00,0.4233908355959164
2020-06-24 00:00:00,0.4233908355959164
2020-06-25 00:00:00,0.4233908355959164
2020-06-26 00:00:00,0.4233908355959164
2020-06-29 00:00:00,0.4233908355959164
2020-06-30 00:00:00,0.4233908355959164
2020-07-01 00:00:00,0.4233908355959164
2020-07-02 00:00:00,0.4233908355959164
2020-07-06 00:00:00,0.4233908355959164
2020-07-07 00:00:00,0.4233908355959164
2020-07-08 00:00:00,0.4233908355959164
2020-07-09 00:00:00,0.4233908355959164
2020-07-10 00:00:00,0.4233908355959164
2020-07-13 00:00:00,0.4233908355959164
2020-07-14 00:00:00,0.4233908355959164
2020-07-15 00:00:00,0.4233908355959164
2020-07-16 00:00:00,0.4233908355959164
2020-07-17 00:00:00,0.4233908355959164
2020-07-20 00:00:00,0.4233908355959164
2020-07-21 00:00:00,0.4233908355959164
2020-07-22 00:00:00,0.4233908355959164
2020-07-23 00:00:00,0.4233908355959164
2020-07-24 00:00:00,0.4233908355959164
2020-07-27 00:00:00,0.4233908355959164
2020-07-28 00:00:00,0.4233908355959164
2020-07-29 00:00:00,0.4233908355959164
2020-07-30 00:00:00,0.4233908355959164
2020-07-31 00:00:00,0.4233908355959164
2020-08-03 00:00:00,0.4233908355959164
2020-08-04 00:00:00,0.4233908355959164
2020-08-05 00:00:00,0.4233908355959164
2020-08-06 00:00:00,0.4233908355959164
2020-08-07 00:00:00,0.4233908355959164
2020-08-10 00:00:00,0.4233908355959164
2020-08-11 00:00:00,0.4233908355959164
2020-08-12 00:00:00,0.4233908355959164
2020-08-13 00:00:00,0.4233908355959164
2020-08-14 00:00:00,0.4233908355959164
2020-08-17 00:00:00,0.4233908355959164
2020-08-18 00:00:00,0.4233908355959164
2020-08-19 00:00:00,0.4233908355959164
2020-08-20 00:00:00,0.4233908355959164
2020-08-21 00:00:00,0.4233908355959164
2020-08-24 00:00:00,0.4233908355959164
2020-08-25 00:00:00,0.4233908355959164
2020-08-26 00:00:00,0.4233908355959164
2020-08-27 00:00:00,0.4233908355959164
2020-08-28 00:00:00,0.4233908355959164
2020-08-31 00:00:00,0.4233908355959164
2020-09-01 00:00:00,0.4233908355959164
2020-09-02 00:00:00,0.4233908355959164
2020-09-03 00:00:00,0.4233908355959164
2020-09-04 00:00:00,0.4233908355959164
2020-09-08 00:00:00,0.4233908355959164
2020-09-09 00:00:00,0.4233908355959164
2020-09-10 00:00:00,0.4233908355959164
2020-09-11 00:00:00,0.4233908355959164
2020-09-14 00:00:00,0.4233908355959164
2020-09-15 00:00:00,0.4233908355959164
2020-09-16 00:00:00,0.4233908355959164
2020-09-17 00:00:00,0.4233908355959164
2020-09-18 00:00:00,0.4233908355959164
2020-09-21 00:00:00,0.4233908355959164
2020-09-22 00:00:00,0.4233908355959164
2020-09-23 00:00:00,0.4233908355959164
2020-09-24 00:00:00,0.4233908355959164
2020-09-25 00:00:00,0.4233908355959164
2020-09-28 00:00:00,0.4233908355959164
2020-09-29 00:00:00,0.4233908355959164
2020-09-30 00:00:00,0.4233908355959164
2020-10-01 00:00:00,0.4233908355959164
2020-10-02 00:00:00,0.4233908355959164
2020-10-05 00:00:00,0.4233908355959164
2020-10-06 00:00:00,0.4233908355959164
2020-10-07 00:00:00,0.4233908355959164
2020-10-08 00:00:00,0.4233908355959164
2020-10-09 00:00:00,0.4233908355959164
2020-10-12 00:00:00,0.4233908355959164
2020-10-13 00:00:00,0.4233908355959164
2020-10-14 00:00:00,0.4233908355959164
2020-10-15 00:00:00,0.4233908355959164
2020-10-16 00:00:00,0.4233908355959164
2020-10-19 00:00:00,0.4233908355959164
2020-10-20 00:00:00,0.4233908355959164
2020-10-21 00:00:00,0.4233908355959164
2020-10-22 00:00:00,0.4233908355959164
2020-10-23 00:00:00,0.4233908355959164
2020-10-26 00:00:00,0.4233908355959164
2020-10-27 00:00:00,0.4233908355959164
2020-10-28 00:00:00,0.4233908355959164
2020-10-29 00:00:00,0.4233908355959164
2020-10-30 00:00:00,0.4233908355959164
2020-11-02 00:00:00,0.4233908355959164
2020-11-03 00:00:00,0.4233908355959164
2020-11-04 00:00:00,0.4233908355959164
2020-11-05 00:00:00,0.4233908355959164
